CCODE,ISO -3 ,Countries,Status,EVI,a,Economic vulnerability index,b,"Share of agriculture, forestry and fisheries",,c,Remoteness and landlockedness,,,d,Export concentration,,e,Export instability,,f,Environmental vulnerability index,g,Share of population living in low elevated coastal zones ,,h,Share of population living in drylands ,,i,Agricultural instability,,j,Victims of disasters (%),,k,HAI,l,Health index,m,Under 5 mortality (per 1000),,n,Prevalence of stunting,,o,"Maternal mortality (per 100,000 live birth)",,p,Education index,q,Lower secondary education completion rate,,r,Adult literacy rate,,s,Gender parity index for lower secondary education completion,,t,GNI per capita ($),u
,,,,,,,,Value,Max-min,,Avg. distance,Adj. value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,
242,FJI,Fiji,ODC,48.9,,47.9,,16.7,26.6,,"9,872",82.8,91,,6.2,36.3,,18.8,37.5,,49.9,,18.3,52.2,,0,0,,12,56.8,,8.7,90.5,,95.1,,92.3,,28.2,89,,7.1,90.8,,38,97.2,,97.8,,95.2,94.6,,99.1,98.8,s11,1,100,,"4,831",
266,GAB,Gabon,ODC,23.3,,31.7,,6.5,9.3,,"5,495",52.4,53,,7.4,56.4,,4,8,,15,,9.5,27.2,,0,0,,1.7,1.2,,0.3,31.5,,75,,80.7,,38.8,82.5,,13.4,78.2,,226.6,81.5,,69.3,,34.4,27.1,,85.7,80.9,,1.3,100,,"6,907",
270,GMB,Gambia,LDC,45.5,,43,,24,38.9,,"4,894",46.4,45.5,,7.4,56.5,,15.6,31.2,,48,,4.3,12.3,,12.9,12.9,,16.7,82.3,,6.3,84.7,,69,,72.8,,45.6,78.4,,13.6,77.8,,458.2,62.1,,65.2,,55.7,50.7,,58.7,44.9,,1.1,100,,750,
268,GEO,Georgia,ODC,29.3,,21.3,,7.6,11.1,,"2,863",18.6,10.8,,6.2,36.3,,13.6,27.2,,37.2,,3.9,11,,5.6,5.6,,13.3,63.9,,2.5,68.5,,98.6,,97.8,,9.3,100,,4.8,95.4,,27.6,98.1,,99.3,,98.7,98.5,,99.6,99.4,,1,100,,"4,815",
288,GHA,Ghana,ODC,30.7,,37.8,,20.7,33.4,,"5,135",48.9,48.6,,7.1,51.4,,8.9,17.8,,23.7,,2.1,6.1,,1.3,1.3,,2.8,7.3,,4.8,80,,77,,79.5,,42.3,80.4,,12.7,79.6,,263.1,78.4,,74.6,,54.8,49.8,,80.4,73.8,,1.1,100,,"2,301",
308,GRD,Grenada,ODC,30.3,,39.7,,6.1,8.6,,"5,827",55.5,56.8,,7,49.8,,21.8,43.5,,21,,5.9,16.7,,0,0,,13.9,67.2,,0,0,,95.3,,94.1,,16,96.4,,8.9,87.2,o1,21.1,98.6,,96.5,,92.3,91.5,r8,98.6,98.1,s5,1,100,t8,"8,495",
320,GTM,Guatemala,ODC,22,,27.7,,10.1,15.4,,"6,870",64,67.5,,5.5,24.2,,1.9,3.7,,16.3,,0.2,0.6,,0,0,,3.3,9.8,,1.1,54.6,,70.8,,67.7,,22.1,92.7,,43.5,18,,95.5,92.4,p1,73.9,,53.3,48.2,,84.3,79,,1,94.4,,"4,786",
324,GIN,Guinea,LDC,29.2,,51.3,,29,47.4,,"5,216",49.7,49.6,,8.2,70.8,,18.7,37.4,,7.1,,2.3,6.7,,0,0,,1.1,0,,0.2,21.6,,46.4,,50.4,,96,47.9,,27.9,49.2,,553.4,54.1,,42.4,,40.7,34.1,,45.3,27.1,,0.8,66.1,,"1,037",
624,GNB,Guinea-Bissau,LDC,34,,54.1,,32.4,53.3,,"5,010",47.6,47,,10.4,100,,8,16,,14,,4.5,13,,0,0,,3.4,10.3,,0.3,32.6,,49.2,,50.6,,71.9,62.5,,27.7,49.6,,725.1,39.7,,47.8,,14.4,4.9,,53.9,38.5,,1.1,100,,764,
328,GUY,Guyana,ODC,50.7,,53,,14.1,22.2,,"6,140",58.2,60.2,,8,66.5,,31.6,63.1,,48.3,,78.5,100,,0,0,,6.5,27.3,,2.1,65.9,,91.1,,90.3,,26.6,90,,7.6,89.8,,111.9,91.1,,92,,90.3,89.3,,90,86.7,,1.1,100,,"12,804",
332,HTI,Haiti,LDC,39.1,,45.7,,20.9,33.7,,"5,697",54.3,55.4,,8.5,74.2,,9.8,19.7,,32.4,,4.1,11.6,,7.9,7.9,,5.3,20.3,,8.3,89.7,,64.8,,69.6,,56.5,71.8,,19.5,66,,350.4,71.1,,60,,37.9,31,,61.7,48.9,s12,1.3,100,,"1,536",
340,HND,Honduras,ODC,24.4,,34.1,,12.5,19.5,,"6,732",62.9,66.2,,6.2,36.6,,7.1,14.3,,14.7,,1.8,5.2,,2.1,2.1,,4.1,14.3,,0.4,37.1,,85.1,,86.9,,16,96.4,,17.5,70,,71.8,94.4,,83.3,,68.7,65.3,,88.5,84.7,,1.2,100,,"2,455",
356,IND,India,ODC,25.8,,17.9,,19.2,30.9,,"4,046",36.5,33.2,,3.7,0,,3.7,7.4,,33.7,,1.9,5.4,,47.1,47.1,,2.8,7.3,,3.6,75.2,,79.7,,74,,29.1,88.4,,31.7,41.6,,102.7,91.8,,85.4,,89.1,87.9,,76.3,68.4,,1,100,,"2,123",
360,IDN,Indonesia,ODC,22.2,,24.2,,13.7,21.5,,"5,964",56.7,58.3,,4.7,11.8,,2.7,5.4,,20.1,,8.8,25.2,,0,0,,3,7.9,,0.7,47.2,,84.3,,74,,21.3,93.2,,31,43,,172.9,85.9,,94.5,,89.9,88.8,,96,94.7,,1.1,100,,"4,224",
364,IRN,Iran (Islamic Republic of),ODC,33.5,,21.4,,14.1,22.1,,"3,444",28.2,22.7,,5.9,31.6,,4.6,9.1,,45.5,,0.9,2.7,,94.6,94.6,,6.7,28.1,,1.3,56.8,,93.5,,97.6,,12,98.8,,4.7,95.6,,22,98.6,,89.3,,85.8,84.2,r7,89,85.3,,1,98.5,t7,"3,794",
368,IRQ,Iraq,ODC,44.8,,30.1,,4.1,5.2,,"3,223",24.7,18.4,,8.5,75.7,,10.5,21,,59.5,,4.6,13.1,,86.2,86.2,,16.8,82.6,,1.2,56.1,,82.5,,90.4,,23.5,91.8,,9.9,85.2,,76.1,94,,74.6,,48.6,42.9,,85.6,80.8,s13,1.1,100,,"4,858",
388,JAM,Jamaica,ODC,25.7,,35.5,,9.6,14.5,,"5,926",56.3,57.9,,7.3,54.8,,7.5,14.9,,15.8,,9.2,26.2,,0,0,,3.2,9.2,,0.2,28,,93.4,,92.9,,18.8,94.7,,6.5,92,,98.9,92.1,,93.8,,97.6,97.3,r7,88.1,84.1,s5,1,100,t7,"5,265",
400,JOR,Jordan,ODC,29.6,,18.8,,5.1,7,,"2,962",20.4,13,,6.1,35.3,,9.9,19.8,,40.4,,0.1,0.2,,96,96,,5.2,19.9,,0.7,45.6,,95.9,,95.4,,14.1,97.5,,6.6,91.8,,41.3,97,,96.3,,91.9,91,,98.4,97.9,,1,100,,"4,171",
398,KAZ,Kazakhstan,ODC,28.6,,26.3,,5.6,7.7,,"3,842",48.9,48.6,,6.6,42.7,,3.2,6.3,,30.9,,0,0,,96.8,96.8,,5,19,,0.1,7.9,,99,,98.2,,9.7,100,,4.9,95.2,,13.4,99.3,,99.9,,99.9,99.9,,99.8,99.7,,1,100,,"9,263",
404,KEN,Kenya,ODC,23.2,,30.1,,23.2,37.6,,"5,860",55.8,57.2,,5.3,21.6,,1.9,3.8,,16.4,,0.4,1.2,,24.4,24.4,,4.6,16.5,,0.2,23.4,,74.1,,68.5,,41.1,81.2,,18.4,68.2,,530,56.1,,79.6,,65.6,61.7,,82.9,77.2,,1.3,100,,"2,052",
296,KIR,Kiribati,LDC,53.6,,66.8,,24.3,39.6,,"8,641",75.9,82.4,,9.3,87.6,,28.8,57.6,,40.3,,95.2,100,h3,4.5,4.5,,8,34.9,,0.2,21.9,,84.6,,80.8,,56.4,71.9,,14.2,76.6,,76.3,94,,88.4,,80,77.7,,90.6,87.5,s14,1.3,100,,"2,916",
